Title,Price,Location,Price_cleaned,Rooms,Area,Area_from_title,District
Юнусабад 2 квартал 1/4/4 квадрат 36м²,33 500 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:15",33500.0,,2.0,2.0,Yunusobod
Сергели 1 . Дуплекс 6/7  200 квадрат Кирпич,105 000 у.е.,"Toshkent, Sirg‘ali tumani - Bugunda 07:14",105000.0,,200.0,200.0,Boshqa
"5/1-0/9, 160м² дуплекс, Махтумкули New Life, можно под нежилой",200 000 у.е.Kelishilgan,"Toshkent, Yashnobod tumani - Bugunda 03:45",200000.0,,160.0,160.0,Yashnobod
"ПРОДАЖА КВАРТИРЫ!2х комн,53м2|ЖК «Yunusabad Residence».   СНУ",100 000 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:14",100000.0,,53.0,53.0,Yunusobod
"2/2/5 40м2 Мирзо Улугбекский район, Новомосковская , ор-р кафе вечер.",68 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:13",68000.0,,40.0,40.0,Mirzo-Ulug‘bek
2 хона ремонтли 55 м2 Сергелийский район,54 450 у.е.,"Toshkent, Sirg‘ali tumani - 04/02/2026",54450.0,2.0,55.0,55.0,Boshqa
"Яшнобод рай, Олмос мах, 10этаж,3 хон, 68кв.м",68 000 у.е.Kelishilgan,"Toshkent, Yashnobod tumani - 05/02/2026",68000.0,3.0,68.0,68.0,Yashnobod
Продаётся 1/2/5 квартира на Юнус-Абад-14 ориентир Самара,54 500 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:13",54500.0,,5.0,5.0,Yunusobod
Юнусобод 8кв 2*3комнатная +мебель техники вдоль дороги,58 900 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:13",58900.0,,8.0,8.0,Yunusobod
Срочно продаётся 2/3/4 квартира массив Фируза 56000,56 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:12",56000.0,,4.0,4.0,Mirzo-Ulug‘bek
"ЖК Ассалом Сохил, 1/5/16, (30м2) с ремонтом Срочно",45 500 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:02",45500.0,,30.0,30.0,Yashnobod
ЖК Nukus Avenue 4-х комнатная 98м2 ‼️Ул. Нукусская,142 000 у.е.Kelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 07:12",142000.0,,98.0,98.0,Yakkasaroy
"2-х комнатная 50кв.м. 4 этаж-53.000 с ремонтом, техника, мебель Водник",53 000 у.е.Kelishilgan,"Toshkent, Bektemir tumani - 05/02/2026",53000.0,,50.0,50.0,Bektemir
СВОЯ!!! Чиланзар 1 квартал 1/2/4,55 500 у.е.,"Toshkent, Chilonzor tumani - Bugunda 07:10",55500.0,,1.0,1.0,Chilonzor
"Продаётся, своя 3/5/5, 103м² на Садык-Азимова. Есть лифт.",195 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:10",195000.0,,103.0,103.0,Yashnobod
"Продаётся 3/4/5, 93m2 (коробка) ЖК YUGNAKIY, Мирзо-Улугбекский район",85 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - 05/02/2026",85000.0,,93.0,93.0,Mirzo-Ulug‘bek
Юнусабад 2 квартал 4/3/7 112м2 С ремонтом,175 000 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:09",175000.0,,2.0,2.0,Yunusobod
Госпитальный Нукусская 3комнат//7 этаж//12этажке площадь 95м2,155 000 у.е.,"Toshkent, Mirobod tumani - Bugunda 07:09",155000.0,,95.0,95.0,Mirobod
"2-комн в НОВОСТРОЙКЕ ЖК Сагбан, 52,6м2 с Ремонтом, Кадастр",75 000 у.е.,"Toshkent, Olmazor tumani - Bugunda 07:09",75000.0,,52.6,52.6,Olmazor
Квартира Буз-2 2/1/5 36 кв.м,51 500 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:08",51500.0,,36.0,36.0,Mirzo-Ulug‘bek
Юнусобод 8кв вдол дароги 2*3комнатная мебел техники,58 500 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:08",58500.0,,8.0,8.0,Yunusobod
Продается Чиланзар 11 квартал,46 000 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - 05/02/2026",46000.0,,11.0,11.0,Chilonzor
Юнусабад-9 банковской планировкой 4в5\2\4 квартира с 124м2,130 000 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - Bugunda 07:08",130000.0,,4.0,4.0,Yunusobod
"Продажа Квартиры!2х комнатная, 64м2|КЛУБНЫЙ ДОМ| Ташсельмаш  США",95 000 у.е.Kelishilgan,"Toshkent, Yashnobod tumani - Bugunda 07:07",95000.0,,64.0,64.0,Yashnobod
Продаётся 2/9/9 Юнусабад 4кв/л Паспортный стол,60 000 у.е.,"Toshkent, Yunusobod tumani - Bugunda 07:06",60000.0,,4.0,4.0,Yunusobod
Квартира Ж/К BI Sado 2/3/9 63 кв.м,115 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:06",115000.0,,63.0,63.0,Yashnobod
Новостройка NRG 3/4/10-94 кв.м. Карасу,210 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - 30/01/2026",210000.0,,94.0,94.0,Mirzo-Ulug‘bek
Срочно Продаётся Новостройка жк SEOUL MUN дуплекс 8-комн 310м2 next,435 555 у.е.Kelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 07:06",435555.0,,310.0,310.0,Yakkasaroy
Метро Хамза 3-х комнатная 11 этаж 75м2  (74.500$),74 500 у.е.,"Toshkent, Chilonzor tumani - Bugunda 07:06",74500.0,,75.0,75.0,Chilonzor
ЖК Assalom Sohil 1-комнатная 30м2 ‼️ УзБум,59 500 у.е.Kelishilgan,"Toshkent, Yashnobod tumani - Bugunda 07:06",59500.0,,30.0,30.0,Yashnobod
СРОЧНО‼️2 комнатный сделили 3 квартира чиланзар 24 квартал,56 500 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - Bugunda 07:05",56500.0,,3.0,3.0,Chilonzor
"Квартира Ж/К Imperial Club 2/7/13 47,50 кв.м",98 000 у.е.,"Toshkent, Yunusobod tumani - Bugunda 07:05",98000.0,,47.5,47.5,Yunusobod
Продаётся квартира в новостройке 38.5kv,35 000 у.е.,"Toshkent, Sirg‘ali tumani - Bugunda 07:03",35000.0,,38.5,38.5,Boshqa
"Мирзо-Улугбекский р-н, Карасу-1, 2/2/4, 60 кв, ЗАФАР (ID-113677)",98 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:03",98000.0,,60.0,60.0,Mirzo-Ulug‘bek
Продаётся 4/3/7 квартира в ЖК Grand Akkurgan Resident! Ул Аккурганская,195 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:03",195000.0,,7.0,7.0,Mirzo-Ulug‘bek
"Продаётся 3/5/12 квартира в ЖК Glinka Premium, ор рест Hamdi Usta",167 000 у.е.Kelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 07:03",167000.0,,12.0,12.0,Yakkasaroy
ЖК NRG Qorasuv  1-комн 45м2 ‼️ Мирзо-Улугбекский,77 000 у.е.Kelishilgan,"Toshkent, Mirobod tumani - Bugunda 07:03",77000.0,,45.0,45.0,Mirobod
Квартира Ж/К Oq Saroy 3/8/8 60 кв.м,139 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:02",139000.0,,60.0,60.0,Mirzo-Ulug‘bek
"ЖК Ассалом Сохил, 1/5/16, (30м2) с ремонтом Срочно",45 500 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:02",45500.0,,30.0,30.0,Yashnobod
Срочно коробка 128 кв. Сквозная. Два по 64 кв. Бок о бок. Б блок,1 200 у.е.Kelishilgan,"Toshkent, Yakkasaroy tumani - 25/01/2026",1200.0,,128.0,128.0,Yakkasaroy
Продается Квартира 4/3/4 100м2 на м. Космонавтов / МВД Корзинка,198 000 у.е.Kelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 07:01",198000.0,,100.0,100.0,Yakkasaroy
Продам 2 ком Юнусабад 13 квартал,56 500 у.е.,"Toshkent, Yunusobod tumani - Bugunda 07:01",56500.0,,13.0,13.0,Yunusobod
Яшнабад! 2 комнатная Ок-Уй в новостройке  ( 66 квм),47 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 07:01",47000.0,,66.0,66.0,Yashnobod
3/6/9 Юнусабад-14 Петушок Корзинка | Франция | 72 м²,75 500 у.е.,"Toshkent, Yunusobod tumani - Bugunda 07:00",75500.0,,72.0,72.0,Yunusobod
Продается 2/5/5 Паркентский Новостройка 78м2,85 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:00",85000.0,,78.0,78.0,Mirzo-Ulug‘bek
Квартира Ж/К Oq Saroy 4/8/8 81 кв.м,179 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:00",179000.0,,81.0,81.0,Mirzo-Ulug‘bek
ЖК Parkent Avenue 2-х комнатная 72м2 ‼️ ул. Паркент,110 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:00",110000.0,,72.0,72.0,Mirzo-Ulug‘bek
Новостройка 3/6/25 Карасу Мечеть авайхон 95м2,95 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:00",95000.0,,95.0,95.0,Mirzo-Ulug‘bek
"Продаётся Своя - 42.6m2 ( коробка ) ЖК YUGNAKIY, Мирзо-Улугбекский р.",41 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - 04/02/2026",41000.0,,42.6,42.6,Mirzo-Ulug‘bek
Новостройка Паркентский 3/4/5 Кирпич 78м2,94 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 07:00",94000.0,,78.0,78.0,Mirzo-Ulug‘bek
Продается своя квартира 2в3/1/2. 50кв.м. Джаркурганская. 57000 у.е.,57 000 у.е.Kelishilgan,"Toshkent, Yashnobod tumani - Bugunda 06:59",57000.0,,50.0,50.0,Yashnobod
Новостройка Буз базар 2/4/9 Евроремонт 45м2,110 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:59",110000.0,,45.0,45.0,Mirzo-Ulug‘bek
1-комн на Сайраме Буз базар (Максим Горький) 25м2,35 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:59",35000.0,,25.0,25.0,Mirzo-Ulug‘bek
Новостройка Ассалом Солих 1/2/16 Евроремонт 30м2,47 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:59",47000.0,,30.0,30.0,Mirzo-Ulug‘bek
Квартира Ж/К Eco Smart Home 2/3/9 38 кв.м,65 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:59",65000.0,,38.0,38.0,Mirzo-Ulug‘bek
Продаю 1/1/4 Юнусабад 8 кв. Подвал есть  цена: 50000 уе Ипотека можно,50 000 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - 05/02/2026",50000.0,,8.0,8.0,Yunusobod
Продажа 1 комнатная квартира в Сергели 1 38 м² 3 этаж рядом метро,37 000 у.е.Kelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 06:59",37000.0,,38.0,38.0,Boshqa
Квартира Ж/К Oq Saroy 3/2/9 85 кв.м,155 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:58",155000.0,,85.0,85.0,Mirzo-Ulug‘bek
Срочно 3ком 78 кв.м Ахмад Югнакий TTЗ №Г227,75 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:58",75000.0,,78.0,78.0,Mirzo-Ulug‘bek
"СРОЧНО! ПРОДАЁТСЯ 4/10/14 квартира в Новостройке на Ц-1 
ул.С.Азимова",356 000 у.е.Kelishilgan,"Toshkent, Mirobod tumani - Bugunda 06:56",356000.0,,14.0,14.0,Mirobod
ПРОДАЕТСЯ Квартира В ЖК Янги Бахт 40 кв.м. 1 комната,55 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 06:56",55000.0,,40.0,40.0,Yashnobod
"ПРОДАЕТСЯ КВАРТИРА!3х комн,55м2|Новомосковская   СНУ",128 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:56",128000.0,,55.0,55.0,Mirzo-Ulug‘bek
Продаётся 3ком ЖК Darkhan Avenue 97квм ор-р: Дархан,280 000 у.е.Kelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:55",280000.0,,97.0,97.0,Mirzo-Ulug‘bek
ЖК Green Island 2-комн 47м2‼️Ул. Садыка Азимова  Школа 145,155 000 у.е.Kelishilgan,"Toshkent, Mirobod tumani - Bugunda 06:55",155000.0,,47.0,47.0,Mirobod
Квартира Ж/К New Port 3/13/25 84 кв.м,127 000 у.е.,"Toshkent, Yakkasaroy tumani - Bugunda 06:55",127000.0,,84.0,84.0,Yakkasaroy
Чиланзар 10 кв-л.  2в3 комнатная Евро.  Ор хосилот,71 500 у.е.,"Toshkent, Chilonzor tumani - Bugunda 06:55",71500.0,,10.0,10.0,Chilonzor
Срочно Продаётся габус Тарас Шевченко 4-комн 3-санузлов 180м2 хорошо р,379 999 у.е.Kelishilgan,"Toshkent, Mirobod tumani - Bugunda 06:54",379999.0,,180.0,180.0,Mirobod
